Service_Name|Version|Version_Category|Implementation_Status|Regions|Flight_Phases|Data_Stakeholders|Data_Category|Activity_Category|Data_Exchange_Standards
MetHazardsService|1|Current and Supported|Terminated|['Africa', 'Europe', 'North America']|Take Off|['Airspace User', 'ANSP']|['Meteorology']|['Meteorological Information', 'MET Information Management', 'Trajectory Management', 'Trajectory Planning', 'Airspace And Surface Structure Allocation']|[]
METARService|1|Current and Supported|Terminated|['Europe']|Airport (ramp)|['Airport Operator', 'Airspace User', 'ANSP']|['Aeronautical Information', 'Meteorology']|['ATM Information Management', 'MET Information Management', 'Airport Management']|['iWXXM']
MeteorologicalDataService|1||Current and Supported|['Europe', 'Global']|Airport (ramp)|['Airport Operator', 'Airspace User', 'ANSP']|['Meteorology']|['Meteorological Information', 'MET Information Management']|
MeteoService||||['Europe']|Departure|[]|[]|['Meteorological Information']|
NMB2BCommonServices|19.5|Current and Supported|Ready for consumption|[]||[]|[]|[]|[]
NOTAMDistributionService|1|Upcoming not Supported|Under development|['Europe', 'North America']|En-route|['Airspace User']|['Aeronautical Information']|['Trajectory Management', 'Trajectory Planning']|
RPASVeryLowLevelOperationsCoordination(VLLOC)Platform-NotificationService|1|Current and Supported|Ready for consumption|['Europe']|En-route|['ANSP', 'Network Manager']|['Flight', 'Environment']|['Surveillance Infrastructure', 'ATM Information Management', 'Flight Information Management']|
RPASVeryLowLevelOperationsCoordination(VLLOC)Platform-ValidationService|1|Current and Supported|Ready for consumption|['Europe']|En-route|['ANSP', 'Network Manager']|['Flight', 'Environment']|['Surveillance Infrastructure', 'ATM Information Management', 'Flight Information Management']|['AIXM']
SEAACARSInterface|0.1|||[]||[]|[]|[]|
SESAR11.24DWeatherCube-AirportMETforecastservice|1|Current and Supported|Ready for consumption|['Europe']|Airport (ramp)|['Airport Operator']|['Meteorology']|['Meteorological Information', 'MET Information Management', 'Airport Management']|[]
SESAR11.24DWeatherCube-AirportMETobservationservice|1|Current and Supported|Terminated|['Europe']|Airport (ramp)|['Airport Operator']|['Meteorology']|['Meteorological Information', 'MET Information Management', 'Airport Management']|
SESAR11.24DWeatherCube-METgriddedforecastservice|1|Current and Supported|Ready for consumption|['Europe']|En-route|['Airspace User', 'ANSP', 'Network Manager']|['Meteorology']|['Meteorological Information', 'MET Information Management', 'Trajectory Management', 'Airspace And Surface Structure Allocation']|
SESAR11.24DWeatherCube-METHazardEnRouteforecastservice|1|Current and Supported|Ready for consumption|['Europe']|En-route|['Airspace User', 'ANSP', 'Network Manager']|['Meteorology']|['Meteorological Information', 'MET Information Management', 'Trajectory Management', 'Airspace And Surface Structure Allocation']|
SESAR11.24DWeatherCube-METHazardEnRouteobservationservice|1|Current and Supported|Ready for consumption|['Europe']|Airport (ramp)|['Airport Operator', 'Airspace User', 'ANSP']|['Meteorology']|['Meteorological Information', 'MET Information Management', 'Trajectory Management', 'Airspace And Surface Structure Allocation']|
SESAR11.24DWeatherCube-METARservice|1|Current and Supported|Ready for consumption|['Europe']|Airport (ramp)|['Airport Operator', 'Airspace User']|['Meteorology']|['Meteorological Information', 'MET Information Management', 'Airport Management']|
SESAR11.24DWeatherCube-SIGMETservice|V1.0|Current and Supported|Ready for consumption|['Africa', 'Europe']|En-route|['Airspace User', 'ANSP', 'Network Manager']|['Meteorology']|['Meteorological Information', 'MET Information Management', 'Trajectory Management', 'Airspace And Surface Structure Allocation']|[]
SESAR11.24DWeatherCube-TAFservice|1|Current and Supported|Under development|['Global']|Airport (ramp)|['Airport Operator']|['Meteorology']|['Meteorological Information', 'MET Information Management', 'Airport Management']|
SharedFlightObjectservice||||[]|En-route|[]|['Flight']|[]|
SNOWTAMService|1|Current and Supported|Terminated|['Europe']|Airport (ramp)|['Airport Operator', 'Airspace User', 'ANSP']|['Aeronautical Information', 'Meteorology']|['ATM Information Management', 'MET Information Management', 'Airport Management']|['AIXM']
SpacecraftReentryHazardAreaService|0.15|Upcoming not Supported|Under development|['Global']|En-route|['Airspace User', 'ANSP']|['Other']|['Airspace Access']|
SWIMdatarecorder|3.0.0|Current and Supported|Ready for consumption|['Africa', 'Asia', 'Europe', 'Global', 'North America', 'Oceania', 'South America']|Airport (ramp)|['Airport Operator', 'Airspace User', 'ANSP', 'Network Manager']|['Flight', 'Meteorology', 'Environment', 'Capacity Demand and Flow', 'Surveillance', 'Other']|['Surveillance Infrastructure', 'Navigtion Infrastructure', 'Communication Infrastructure', 'ATM Information Management', 'Flight Information Management', 'Meteorological Information', 'MET Information Management', 'Shared Information Service Management', 'Conflict Management', 'Collision Avoidance', 'Separation Provision', 'Airport Management', 'Airport CDM', 'Route Design', 'Demand And Capacity Balancing']|
TAFService|1|Current and Supported|Terminated|['Europe']|Airport (ramp)|['Airport Operator', 'Airspace User', 'ANSP']|['Aeronautical Information', 'Meteorology']|['ATM Information Management', 'MET Information Management', 'Airport Management']|
TrackInformationService||||['Europe']|En-route|[]|['Flight', 'Surveillance']|['Traffic Synchronisation']|
VariFlight||||['Asia']||[]|[]|[]|
WeACWeatherService|1|Current and Supported|Ready for consumption|['Europe']|Airport (ramp)|['Airspace User', 'ANSP']|['Flight', 'Aeronautical Information', 'Meteorology', 'Environment']|['ATM Information Management', 'Flight Information Management', 'Meteorological Information', 'MET Information Management', 'Shared Information Service Management', 'Airport Management', 'Airport CDM']|[]
Windsaloftservice|1|Current and Supported|Under development|['Global']|Airport (ramp)|['Airport Operator', 'Airspace User', 'ANSP', 'Network Manager']|['Meteorology']|['Meteorological Information', 'MET Information Management', 'Trajectory Management', 'Trajectory Planning', 'Airspace And Surface Structure Allocation']|
